code,Field title
25165,Mean MO in superior cerebellar peduncle on FA skeleton (left)
25164,Mean MO in superior cerebellar peduncle on FA skeleton (right)
25177,Mean MO in superior corona radiata on FA skeleton (left)
25176,Mean MO in superior corona radiata on FA skeleton (right)
25195,Mean MO in superior fronto-occipital fasciculus on FA skeleton (left)
25194,Mean MO in superior fronto-occipital fasciculus on FA skeleton (right)
25193,Mean MO in superior longitudinal fasciculus on FA skeleton (left)
25192,Mean MO in superior longitudinal fasciculus on FA skeleton (right)
25199,Mean MO in tapetum on FA skeleton (left)
25198,Mean MO in tapetum on FA skeleton (right)
25197,Mean MO in uncinate fasciculus on FA skeleton (left)
25196,Mean MO in uncinate fasciculus on FA skeleton (right)
25415,Mean OD in anterior corona radiata on FA skeleton (left)
25414,Mean OD in anterior corona radiata on FA skeleton (right)
25409,Mean OD in anterior limb of internal capsule on FA skeleton (left)
25408,Mean OD in anterior limb of internal capsule on FA skeleton (right)
25395,Mean OD in body of corpus callosum on FA skeleton
25407,Mean OD in cerebral peduncle on FA skeleton (left)
25406,Mean OD in cerebral peduncle on FA skeleton (right)
25427,Mean OD in cingulum cingulate gyrus on FA skeleton (left)
25426,Mean OD in cingulum cingulate gyrus on FA skeleton (right)
25429,Mean OD in cingulum hippocampus on FA skeleton (left)
25428,Mean OD in cingulum hippocampus on FA skeleton (right)
25399,Mean OD in corticospinal tract on FA skeleton (left)
25398,Mean OD in corticospinal tract on FA skeleton (right)
25425,Mean OD in external capsule on FA skeleton (left)
25424,Mean OD in external capsule on FA skeleton (right)
25431,Mean OD in fornix cres+stria terminalis on FA skeleton (left)
25430,Mean OD in fornix cres+stria terminalis on FA skeleton (right)
25397,Mean OD in fornix on FA skeleton
25394,Mean OD in genu of corpus callosum on FA skeleton
25403,Mean OD in inferior cerebellar peduncle on FA skeleton (left)
25402,Mean OD in inferior cerebellar peduncle on FA skeleton (right)
25401,Mean OD in medial lemniscus on FA skeleton (left)
25400,Mean OD in medial lemniscus on FA skeleton (right)
25392,Mean OD in middle cerebellar peduncle on FA skeleton
25393,Mean OD in pontine crossing tract on FA skeleton
25419,Mean OD in posterior corona radiata on FA skeleton (left)
25418,Mean OD in posterior corona radiata on FA skeleton (right)
25411,Mean OD in posterior limb of internal capsule on FA skeleton (left)
25410,Mean OD in posterior limb of internal capsule on FA skeleton (right)
25421,Mean OD in posterior thalamic radiation on FA skeleton (left)
25420,Mean OD in posterior thalamic radiation on FA skeleton (right)
25413,Mean OD in retrolenticular part of internal capsule on FA skeleton (left)
25412,Mean OD in retrolenticular part of internal capsule on FA skeleton (right)
25423,Mean OD in sagittal stratum on FA skeleton (left)
25422,Mean OD in sagittal stratum on FA skeleton (right)
25396,Mean OD in splenium of corpus callosum on FA skeleton
25405,Mean OD in superior cerebellar peduncle on FA skeleton (left)
25404,Mean OD in superior cerebellar peduncle on FA skeleton (right)
25417,Mean OD in superior corona radiata on FA skeleton (left)
25416,Mean OD in superior corona radiata on FA skeleton (right)
25435,Mean OD in superior fronto-occipital fasciculus on FA skeleton (left)
25434,Mean OD in superior fronto-occipital fasciculus on FA skeleton (right)
25433,Mean OD in superior longitudinal fasciculus on FA skeleton (left)
25432,Mean OD in superior longitudinal fasciculus on FA skeleton (right)
25439,Mean OD in tapetum on FA skeleton (left)
25438,Mean OD in tapetum on FA skeleton (right)
25437,Mean OD in uncinate fasciculus on FA skeleton (left)
25436,Mean OD in uncinate fasciculus on FA skeleton (right)
